,created_at,product_name,central_mayorista,TFT-S_avg_price,TFT-S_pred,TFT-S_smape,TFT-L_avg_price,TFT-L_pred,TFT-L_smape,DeepAR_avg_price,DeepAR_pred,DeepAR_smape,N-Hits_avg_price,N-Hits_pred,N-Hits_smape,avg_price,rolling_price,rolling_smape,forecast_date,update_date,forecast_idx
0,2023-12-08,item_10,location_01,1894.0,1872.0,0.01,1894.0,1526.0,0.22,1894.0,2497.0,0.27,1894.0,1660.0,0.13,1894.0,1800.0,0.05089334055224689,2023-12-14,2023-12-14,1
1,2023-12-08,item_01,location_01,1465.0,1789.0,0.2,1465.0,2096.0,0.35,1465.0,2136.0,0.37,1465.0,1406.0,0.04,1465.0,1265.0,0.14652014652014653,2023-12-14,2023-12-14,1
2,2023-12-08,item_04,location_01,2208.0,2603.0,0.16,2208.0,3882.0,0.55,2208.0,3210.0,0.37,2208.0,1727.0,0.24,2208.5,2202.0,0.0029475116199977327,2023-12-14,2023-12-14,1
3,2023-12-08,item_13,location_01,2035.0,1935.0,0.05,2035.0,2181.0,0.07,2035.0,1873.0,0.08,2035.0,1866.0,0.09,2035.0,1500.0,0.3026874115983027,2023-12-14,2023-12-14,1
4,2023-12-08,item_08,location_01,2000.0,2603.0,0.26,2000.0,2955.0,0.39,2000.0,2882.0,0.36,2000.0,1942.0,0.03,2000.0,2025.0,0.012422360248447204,2023-12-14,2023-12-14,1
5,2023-12-08,item_05,location_01,2948.0,3781.0,0.25,2948.0,3909.0,0.28,2948.0,4475.0,0.41,2948.0,2719.0,0.08,2948.0,2500.0,0.1644640234948605,2023-12-14,2023-12-14,1
6,2023-12-08,item_12,location_01,3786.0,2299.0,0.49,3786.0,2765.0,0.31,3786.0,2273.0,0.5,3786.0,3516.0,0.07,3786.0,3318.0,0.13175675675675674,2023-12-14,2023-12-14,1
7,2023-12-08,item_06,location_01,2428.0,3288.0,0.3,2428.0,3080.0,0.24,2428.0,3281.0,0.3,2428.0,2185.0,0.11,2427.5,2146.0,0.12310047009948617,2023-12-14,2023-12-14,1
8,2023-12-08,item_11,location_01,1782.0,2080.0,0.15,1782.0,2323.0,0.26,1782.0,3091.0,0.54,1782.0,1404.0,0.24,1781.5,1413.0,0.2307090311472844,2023-12-14,2023-12-14,1
9,2023-12-08,item_07,location_01,3840.0,3466.0,0.1,3840.0,3839.0,0.0,3840.0,3089.0,0.22,3840.0,3627.0,0.06,3839.5,2950.0,0.2620222402238751,2023-12-14,2023-12-14,1
10,2023-12-08,item_02,location_01,10032.0,6792.0,0.39,10032.0,7061.0,0.35,10032.0,8952.0,0.11,10032.0,9865.0,0.02,10031.5,9188.0,0.08777543640573376,2023-12-14,2023-12-14,1
11,2023-12-08,item_03,location_01,7032.0,5906.0,0.17,7032.0,6159.0,0.13,7032.0,6046.0,0.15,7032.0,6839.0,0.03,7031.5,7163.0,0.01852830321603438,2023-12-14,2023-12-14,1
12,2023-12-08,item_09,location_01,3242.0,4437.0,0.31,3242.0,4361.0,0.29,3242.0,4492.0,0.32,3242.0,3135.0,0.03,3241.5,3525.0,0.0837951673686544,2023-12-14,2023-12-14,1
13,2023-12-09,item_05,location_01,2896.0,3982.0,0.32,2896.0,3886.0,0.29,2896.0,4810.0,0.5,2896.0,2767.0,0.05,2896.0,2542.0,0.13019492460463405,2023-12-15,2023-12-14,2
14,2023-12-09,item_06,location_01,2438.0,3503.0,0.36,2438.0,3068.0,0.23,2438.0,2454.0,0.01,2438.0,2209.0,0.1,2438.0,2042.0,0.1767857142857143,2023-12-15,2023-12-14,2
15,2023-12-09,item_04,location_01,2149.0,2872.0,0.29,2149.0,3845.0,0.57,2149.0,2945.0,0.31,2149.0,1980.0,0.08,2149.0,1964.0,0.0899586676391928,2023-12-15,2023-12-14,2
16,2023-12-09,item_10,location_01,1925.0,2037.0,0.06,1925.0,1502.0,0.25,1925.0,2649.0,0.32,1925.0,1696.0,0.13,1925.0,1800.0,0.06711409395973154,2023-12-15,2023-12-14,2
