,forecast_idx,product_name,central_mayorista,TFT-L_smape,TFT-S_smape,DeepAR_smape,N-Hits_smape,rolling_smape,best_global_smape_model
0,1,item_01,location_01,0.35,0.2,0.37,0.04,0.14652014652014653,N-Hits_smape
1,2,item_01,location_01,0.37,0.27,0.13,0.06,0.13077207240487626,N-Hits_smape
2,3,item_01,location_01,0.31,0.18,0.32,0.02,0.1929887965305385,N-Hits_smape
3,4,item_01,location_01,0.24,0.07,0.2,0.07,0.1927710843373494,N-Hits_smape
4,5,item_01,location_01,0.23,0.08,0.26,0.07,0.10082961072112316,N-Hits_smape
5,1,item_02,location_01,0.35,0.39,0.11,0.02,0.08777543640573376,N-Hits_smape
6,2,item_02,location_01,0.35,0.37,0.31,0.02,0.06632443531827516,N-Hits_smape
7,3,item_02,location_01,0.41,0.45,0.45,0.05,0.11180124223602485,N-Hits_smape
8,4,item_02,location_01,0.44,0.48,0.6,0.08,0.1341397980586313,N-Hits_smape
9,5,item_02,location_01,0.42,0.47,0.39,0.06,0.07618314736437092,N-Hits_smape
10,1,item_03,location_01,0.13,0.17,0.15,0.03,0.01852830321603438,rolling_smape
11,2,item_03,location_01,0.14,0.15,0.1,0.03,0.0007081651441116068,rolling_smape
12,3,item_03,location_01,0.19,0.22,0.14,0.06,0.05440396666896219,rolling_smape
13,4,item_03,location_01,0.21,0.27,0.29,0.06,0.07927119450676456,rolling_smape
14,5,item_03,location_01,0.23,0.28,0.12,0.09,0.10708491076257437,rolling_smape
15,1,item_04,location_01,0.55,0.16,0.37,0.24,0.0029475116199977327,rolling_smape
16,2,item_04,location_01,0.57,0.29,0.31,0.08,0.0899586676391928,rolling_smape
17,3,item_04,location_01,0.57,0.16,0.26,0.07,0.016941176470588234,rolling_smape
18,4,item_04,location_01,0.65,0.24,0.38,0.15,0.12774070543374644,rolling_smape
19,5,item_04,location_01,0.81,0.42,0.8,0.26,0.3267504488330341,rolling_smape
20,1,item_05,location_01,0.28,0.25,0.41,0.08,0.1644640234948605,rolling_smape
21,2,item_05,location_01,0.29,0.32,0.5,0.05,0.13019492460463405,rolling_smape
22,3,item_05,location_01,0.36,0.36,0.46,0.09,0.023715415019762844,rolling_smape
23,4,item_05,location_01,0.38,0.34,0.23,0.15,0.0,rolling_smape
